username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/BuoydgDn9Uo,1551811856,./imgs/BuoydgDn9Uo.png,nan,2484945,11531,0,0,0,0,1,False
justinbieber,https://www.instagram.com/p/BVkuYbGDvRr,1497988408,./imgs/BVkuYbGDvRr.png,nan,2109374,14744,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CDKZmN3Htpy,1595889344,./imgs/CDKZmN3Htpy.png,nan,938150,4984,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/lp-ucDgvmq,1395085534,./imgs/lp-ucDgvmq.png,Been in the studio for over 24 hours (via @shots),1024298,31718,0,49,10,0,0,False
justinbieber,https://www.instagram.com/p/4_8V1sAvo4,1436624671,./imgs/4_8V1sAvo4.png,#mynurse @micahcravalho lol thanks for watching out for me GOT MY WISDOM teeth out and haven't slept!! @thehundreds where you at @richwilkersonjr,1110111,9938,1,145,22,0,0,False
justinbieber,https://www.instagram.com/p/CSC6-VHBOVU,1627850662,./imgs/CSC6-VHBOVU.png,nan,941283,13738,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/BY_lcIUj2no,1505332141,./imgs/BY_lcIUj2no.png,nan,896741,3812,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CJXf_30HXHO,1609213847,./imgs/CJXf_30HXHO.png,Bet that money on baby bet she won’t leave me oh no. 📹: @rorykramer_,1376281,6337,0,68,14,1,6,True
justinbieber,https://www.instagram.com/p/qk9qKqgvlk,1405654621,./imgs/qk9qKqgvlk.png,nan,1321005,99966,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/BFHlJMPAvr7,1462650748,./imgs/BFHlJMPAvr7.png,nan,1316393,9049,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/B9UvNJWHXNp,1583351315,./imgs/B9UvNJWHXNp.png,nan,925818,2616,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/BZAViwgDO78,1505357361,./imgs/BZAViwgDO78.png,nan,734550,8825,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/YYddt,1323547595,./imgs/YYddt.png,nan,128444,1830,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/R6orRcAvkW,1352694726,./imgs/R6orRcAvkW.png,Poppy for Remembrance Day,467752,12096,0,25,4,0,0,False
justinbieber,https://www.instagram.com/p/CUvLtrtvnKY,1633630801,./imgs/CUvLtrtvnKY.png,📷: @rorykramer,1589780,7241,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/hNydyIAvj-,1385549648,./imgs/hNydyIAvj-.png,I'm turnt,754472,19938,0,9,2,0,0,False
justinbieber,https://www.instagram.com/p/Sgw1wkAvki,1353974075,./imgs/Sgw1wkAvki.png,"Knock knock who der Houdini disappear got green John deer more green Paul Pierce ahh"" @kinggoldchains",483709,15421,0,101,16,0,0,False
